quantity,value,class,interval_95,method,note
auditRunsWorkstation,"1{,}382",exact,,,"count, constant, or enumerated value"
auditUsableConditions,21,exact,,,"count, constant, or enumerated value"
auditUsableConditionsCloud,13,exact,,,"count, constant, or enumerated value"
auditUsableConditionsWorkstation,8,exact,,,"count, constant, or enumerated value"
baseSliceNs,"3{,}000{,}000",exact,,,"count, constant, or enumerated value"
chronyHostBoundHi,7,not-an-estimate,,,same
chronyHostBoundLo,4,not-an-estimate,,,"instrument bound from chrony's own error estimate, not a sample"
chronyHosts,4,exact,,,"count, constant, or enumerated value"
chronyPairBound,12,not-an-estimate,,,"sum of two instrument bounds; a worst case, not an estimate"
clockAdmitted,\texttt{kvm-clock} or \texttt{tsc},exact,,,wording/config macro
clockExcludedCount,3,exact,,,"count, constant, or enumerated value"
clockIncrementNs,90,exact,,,"count, constant, or enumerated value"
clockPmTickNs,279,exact,,,"count, constant, or enumerated value"
coreGrowth,5,exact,,,"count, constant, or enumerated value"
cpuEstimateSpread,0.05,not-an-estimate,,,a spread across arms; label it as a spread where quoted
forkAbsent,0,exact,,,"count, constant, or enumerated value"
forkCheckedOn,2026-08-24,exact,,,"count, constant, or enumerated value"
gridArms,12,exact,,,"count, constant, or enumerated value"
gridFlat,2,exact,,,"count, constant, or enumerated value"
gridFlatRates,$400$ and $800$,population,,,exhaustive over this corpus; interval only under a super-population reading
gridPowered,10,exact,,,"count, constant, or enumerated value"
gridReject,9,exact,,,"count, constant, or enumerated value"
gridUnresolvedHolm,0.131,exact,,,"count, constant, or enumerated value"
gridUnresolvedRate,900,exact,,,"count, constant, or enumerated value"
gridUnresolvedRaw,0.044,exact,,,"count, constant, or enumerated value"
harnessAuditedWord,seven,exact,,,wording/config macro
harnessAuditedWordCap,Seven,exact,,,wording/config macro
harnessCounting,1,exact,,,"count, constant, or enumerated value"
harnessCountingWord,one,exact,,,wording/config macro
harnessCountingWordCap,One,exact,,,wording/config macro
harnessCrossHostNegatives,0,exact,,,"count, constant, or enumerated value"
harnessCrossHostRuns,12,exact,,,"count, constant, or enumerated value"
harnessCrossHostSamples,"905{,}040",exact,,,"count, constant, or enumerated value"
harnessDisposalClasses,3,exact,,,"count, constant, or enumerated value"
harnessDisposalClassesWord,three,exact,,,wording/config macro
harnessDisposalClassesWordCap,Three,exact,,,wording/config macro
harnessEvidenceLines,14,exact,,,"count, constant, or enumerated value"
harnessFilters,2,exact,,,"count, constant, or enumerated value"
harnessFiltersWord,two,exact,,,wording/config macro
harnessFiltersWordCap,Two,exact,,,wording/config macro
harnessLanguages,4,exact,,,"count, constant, or enumerated value"
harnessLanguagesWord,four,exact,,,wording/config macro
harnessLanguagesWordCap,Four,exact,,,wording/config macro
harnessNoDisposal,1,exact,,,"count, constant, or enumerated value"
harnessNoDisposalWord,one,exact,,,wording/config macro
harnessNoDisposalWordCap,One,exact,,,wording/config macro
harnessOneClockNegatives,0,exact,,,"count, constant, or enumerated value"
harnessOneClockRuns,12,exact,,,"count, constant, or enumerated value"
harnessOneClockSamples,"905{,}040",exact,,,"count, constant, or enumerated value"
harnessRefusals,1,exact,,,"count, constant, or enumerated value"
harnessRefusalsWord,one,exact,,,wording/config macro
harnessRefusalsWordCap,One,exact,,,wording/config macro
harnessSilent,5,exact,,,"count, constant, or enumerated value"
harnessSilentIndependent,4,exact,,,"count, constant, or enumerated value"
harnessSilentIndependentWord,four,exact,,,wording/config macro
harnessSilentIndependentWordCap,Four,exact,,,wording/config macro
harnessSilentWord,five,exact,,,wording/config macro
harnessSilentWordCap,Five,exact,,,wording/config macro
harnessSplitGuard,1,exact,,,"count, constant, or enumerated value"
harnessSuppressors,2,exact,,,"count, constant, or enumerated value"
harnessSuppressorsWord,two,exact,,,wording/config macro
harnessSuppressorsWordCap,Two,exact,,,wording/config macro
harnessVendors,7,exact,,,"count, constant, or enumerated value"
harnessVendorsWord,seven,exact,,,wording/config macro
harnessVendorsWordCap,Seven,exact,,,wording/config macro
invCeiling,0.37,population,,,exhaustive over this corpus; interval only under a super-population reading
invGrowth,61,exact,,,"count, constant, or enumerated value"
observerZ,3.6,exact,,,"count, constant, or enumerated value"
ombGridMedianCells,71,exact,,,"count, constant, or enumerated value"
ombGridRetentionMax,100,exact,,,"count, constant, or enumerated value"
ombGridRetentionMin,0.36,exact,,,"count, constant, or enumerated value"
ombGuardedClock,millisecond,exact,,,wording/config macro
ombGuardedPath,end-to-end,exact,,,wording/config macro
ombKafkaDiscarded,"10{,}913{,}263",exact,,,"count, constant, or enumerated value"
ombKafkaNegatives,0,exact,,,"count, constant, or enumerated value"
ombKeptHi,"120{,}434",population,,,exhaustive over this corpus; interval only under a super-population reading
ombKeptLo,431,population,,,exhaustive over this corpus; interval only under a super-population reading
ombMedianCells,75,population,,,exhaustive over this corpus; interval only under a super-population reading
ombNegatives,"41{,}403",exact,,,"count, constant, or enumerated value"
ombPubLatHi,0.4,population,,,exhaustive over this corpus; interval only under a super-population reading
ombPubLatLo,0.3,population,,,exhaustive over this corpus; interval only under a super-population reading
ombRedisDiscarded,"619{,}229",exact,,,"count, constant, or enumerated value"
ombRedisNegatives,"41{,}403",exact,,,"count, constant, or enumerated value"
ombRetentionFold,279,population,,,exhaustive over this corpus; interval only under a super-population reading
ombRetentionMax,100.00,exact,,,"count, constant, or enumerated value"
ombRetentionMin,0.00,exact,,,"count, constant, or enumerated value"
ombRetentionMinExact,0.0044,exact,,,"count, constant, or enumerated value"
ombRetentionRhoN,71,exact,,,"count, constant, or enumerated value"
ombUnguardedClock,nanosecond,exact,,,wording/config macro
ombUnguardedPath,publish,exact,,,wording/config macro
payloadLevels,4,exact,,,"count, constant, or enumerated value"
payloadRateFall,4.1,needs-data,,,same
payloadRateFallExact,4.09,exact,,,"count, constant, or enumerated value"
payloadReplRateFall,4.26,needs-data,,,same
payloadReplTransportFactor,76.8,needs-data,,,same
payloadRhoSpread,0.012,exact,,,"count, constant, or enumerated value"
payloadTransportFactor,76.9,needs-data,,,needs per-run payload-arm data for a bootstrap
payloadTransportFactorRound,77,exact,,,"count, constant, or enumerated value"
registryTableSources,"\cite{pulsar_perf,openmessaging2018,openmessaging2018,rezolus,btt_inlines,emqtt_bench,fio_gettime,wrk2_src}",exact,,,wording/config macro
rtConfounded,0,exact,,,"count, constant, or enumerated value"
rtFactorHigh,80,exact,,,"count, constant, or enumerated value"
rtFactorLow,7,exact,,,"count, constant, or enumerated value"
rtHighZ,31.9,exact,,,"count, constant, or enumerated value"
rtLowZ,19.8,exact,,,"count, constant, or enumerated value"
rtPairs,8,exact,,,"count, constant, or enumerated value"
rtResidualMax,0.0144,population,,,exhaustive over this corpus; interval only under a super-population reading
rtResidualMin,0.0017,population,,,exhaustive over this corpus; interval only under a super-population reading
rtResidualPairs,8,exact,,,"count, constant, or enumerated value"
rtRhoHigh,95,exact,,,"count, constant, or enumerated value"
rtRhoLow,60,exact,,,"count, constant, or enumerated value"
sliceFactor,4,exact,,,"count, constant, or enumerated value"
spanDeepestInversionMs,-99.8,population,,,exhaustive over this corpus; interval only under a super-population reading
spanKafkaEvents,"367{,}894",exact,,,"count, constant, or enumerated value"
spanKafkaNegAck,"31{,}899",exact,,,"count, constant, or enumerated value"
spanKafkaRunsAckInvertsPct,65,population,,,exhaustive over this corpus; interval only under a super-population reading
spanNegOutputSend,0,exact,,,"count, constant, or enumerated value"
spanNegTti,0,exact,,,"count, constant, or enumerated value"
spanOffsetMargin,455,population,,,exhaustive over this corpus; interval only under a super-population reading
spanRedisEvents,"370{,}836",exact,,,"count, constant, or enumerated value"
spanRedisNegAck,"30{,}365",exact,,,"count, constant, or enumerated value"
spanRedisRunsAckInvertsPct,88,population,,,exhaustive over this corpus; interval only under a super-population reading
spanRunsAckInverts,"4{,}549",exact,,,"count, constant, or enumerated value"
spanRunsAckOnly,"4{,}549",exact,,,"count, constant, or enumerated value"
spanRunsAckOnlyPct,100,population,,,exhaustive over this corpus; interval only under a super-population reading
spanRunsOverOnePct,"3{,}976",not-an-estimate,,,"a count of runs, exact for this campaign (the Pct suffix in the macro name is a misnomer worth fixing)"
spanRunsSendInverts,0,exact,,,"count, constant, or enumerated value"
spanSendFloorOtherUs,805,population,,,exhaustive over this corpus; interval only under a super-population reading
spanSendFloorUs,220,population,,,exhaustive over this corpus; interval only under a super-population reading
tailPrefactor,0.238,needs-data,,,fit parameter without an emitted CI; bootstrap the fit
tailRsq,0.990,exact,,,"count, constant, or enumerated value"
tostHLRange,0.408$--$0.417,exact,,,"count, constant, or enumerated value"
tostLevels,3,exact,,,"count, constant, or enumerated value"
tostMargin,1,exact,,,"count, constant, or enumerated value"
tracedGofBoot,"2{,}500",exact,,,"count, constant, or enumerated value"
tracedGofP,<0.0004,not-an-estimate,,,a p-value; it is already a tail probability and takes no interval
tracedModeHi,4,exact,,,"count, constant, or enumerated value"
tracedModeLo,2,exact,,,"count, constant, or enumerated value"
tracedModeRank,3,exact,,,"count, constant, or enumerated value"
tracedModeRatio,4.5,exact,,,"count, constant, or enumerated value"
tracedModeShare,10.5,needs-data,,,share of a fitted mode; stall_mixture.json now carries bootstrap CIs
tracedModeTopShare,20.0,needs-data,,,same
tracedModes,3,exact,,,"count, constant, or enumerated value"
tracedOctaveA,1.96,needs-data,,,fit parameters; bootstrap alongside the mixture
tracedOctaveB,0.03,needs-data,,,same
tracedRate,0.231,needs-data,,,traced-arm rate; binomial trivial but clustering unknown -- decide the unit
tracedRatioArms,3,exact,,,"count, constant, or enumerated value"
tracedRatioHi,1.32,exact,,,"count, constant, or enumerated value"
tracedRatioLo,0.78,exact,,,"count, constant, or enumerated value"
tracedRatios,"0.78, 1.06, 1.32",needs-data,,,needs per-arm event counts on both sides; data in depth artefacts
tracedTailFrom,4,exact,,,"count, constant, or enumerated value"
untracedRate,0.272,needs-data,,,same
